title,studio,domestic_gross,foreign_gross,year,total_gross,title_norm
Any Day Now,MBox,201000.0,18700000.0,2012,18901000.0,any day now
Tere Naal Love Ho Gaya,UTV,178000.0,18700000.0,2012,18878000.0,tere naal love ho gaya
The Hunter (2012),Magn.,177000.0,18700000.0,2012,18877000.0,the hunter
Butter,RTWC,105000.0,70700.0,2012,175700.0,butter
Kill List,IFC,29100.0,143000.0,2012,172100.0,kill list
Flying Swords of Dragon Gate,IM,170000.0,18700000.0,2012,18870000.0,flying swords of dragon gate
Joker,UTV,169000.0,18700000.0,2012,18869000.0,joker
Dark Horse,BM&DH,166000.0,18700000.0,2012,18866000.0,dark horse
Shirin Farhad Ki Toh Nikal Padi,Eros,156000.0,18700000.0,2012,18856000.0,shirin farhad ki toh nikal padi
Bullhead,Drft.,152000.0,18700000.0,2012,18852000.0,bullhead
Chakravyuh,Eros,152000.0,18700000.0,2012,18852000.0,chakravyuh
Luv Shuv Tey Chicken Khurana,UTV,144000.0,18700000.0,2012,18844000.0,luv shuv tey chicken khurana
High School,Anch.,139000.0,18700000.0,2012,18839000.0,high school
Warriors of the Rainbow: Seediq Bale,WGUSA,136000.0,18700000.0,2012,18836000.0,warriors of the rainbow seediq bale
The Loneliest Planet,IFC,130000.0,18700000.0,2012,18830000.0,the loneliest planet
Forgiveness of Blood,IFC,127000.0,18700000.0,2012,18827000.0,forgiveness of blood
Toys in the Attic,Hann.,64900.0,61600.0,2012,126500.0,toys in the attic
"Turn Me On, Dammit!",NYer,126000.0,18700000.0,2012,18826000.0,turn me on dammit
God Bless America,Magn.,123000.0,18700000.0,2012,18823000.0,god bless america
Bullet Vanishes,CL,118000.0,18700000.0,2012,18818000.0,bullet vanishes
The Woman in the Fifth,ATO,114000.0,18700000.0,2012,18814000.0,the woman in the fifth
5 Broken Cameras,KL,110000.0,18700000.0,2012,18810000.0,5 broken cameras
Hello I Must Be Going,Osci.,107000.0,18700000.0,2012,18807000.0,hello i must be going
The Magic of Belle Isle,Magn.,102000.0,18700000.0,2012,18802000.0,the magic of belle isle
"Oslo, August 31st",Strand,101000.0,18700000.0,2012,18801000.0,oslo august 31st
Wuthering Heights (2012),Osci.,101000.0,18700000.0,2012,18801000.0,wuthering heights
Mugamoodi,UTV,101000.0,18700000.0,2012,18801000.0,mugamoodi
V/H/S,Magn.,100000.0,18700000.0,2012,18800000.0,vhs
Goodbye First Love,IFC,95000.0,18700000.0,2012,18795000.0,goodbye first love
Marina Abramovic: The Artist is Present,MBox,86600.0,18700000.0,2012,18786600.0,marina abramovic the artist is present
The Eye of the Storm,SEG,83600.0,18700000.0,2012,18783600.0,the eye of the storm
Wagner & Me,FRun,37700.0,41000.0,2012,78700.0,wagner me
The Innkeepers,Magn.,78400.0,18700000.0,2012,18778400.0,the innkeepers
This is Not a Film,PalT,77000.0,18700000.0,2012,18777000.0,this is not a film
The Island President,Gold.,76400.0,18700000.0,2012,18776400.0,the island president
Detachment,Trib.,72700.0,18700000.0,2012,18772700.0,detachment
Attenberg,Strand,24000.0,45900.0,2012,69900.0,attenberg
Deadfall (2012),Magn.,66400.0,18700000.0,2012,18766400.0,deadfall
Girlfriend Boyfriend - GF BF,CL,64400.0,18700000.0,2012,18764400.0,girlfriend boyfriend gf bf
Vulgaria,CL,59100.0,18700000.0,2012,18759100.0,vulgaria
The Turin Horse,CGld,56400.0,18700000.0,2012,18756400.0,the turin horse
Jodi Breakers,Yash,52600.0,18700000.0,2012,18752600.0,jodi breakers
Painted Skin: The Resurrection,WGUSA,50400.0,18700000.0,2012,18750400.0,painted skin the resurrection
"All's Well, End's Well (2012)",CL,47900.0,18700000.0,2012,18747900.0,alls well ends well
North Sea Texas,Strand,28300.0,16700.0,2012,45000.0,north sea texas
Double Trouble,CL,44800.0,18700000.0,2012,18744800.0,double trouble
The Fairy,KL,38400.0,18700000.0,2012,18738400.0,the fairy
Hit So Hard,Vari.,34000.0,18700000.0,2012,18734000.0,hit so hard
Kalakalappu@Masala Cafe,UTV,30900.0,18700000.0,2012,18730900.0,kalakalappumasala cafe
The Bay,RAtt.,30700.0,18700000.0,2012,18730700.0,the bay
You've Been Trumped,ICir,29300.0,18700000.0,2012,18729300.0,youve been trumped
Here (2012),Strand,26700.0,18700000.0,2012,18726700.0,here
In Another Country,KL,25100.0,18700000.0,2012,18725100.0,in another country
The First Time,Gold.,22800.0,18700000.0,2012,18722800.0,the first time
Bonsai,Strand,21300.0,18700000.0,2012,18721300.0,bonsai
The Day,Anch.,21000.0,18700000.0,2012,18721000.0,the day
28 Hotel Rooms,Osci.,18900.0,18700000.0,2012,18718900.0,28 hotel rooms
Lovely Molly,Imag.,18500.0,18700000.0,2012,18718500.0,lovely molly
Juan of the Dead,Outs,18000.0,18700000.0,2012,18718000.0,juan of the dead
4:44: Last Day on Earth,IFC,17800.0,18700000.0,2012,18717800.0,444 last day on earth
Little Birds,MNE,17700.0,18700000.0,2012,18717700.0,little birds
Return (2012),Da.,16100.0,18700000.0,2012,18716100.0,return
Alps,KL,16100.0,18700000.0,2012,18716100.0,alps
Patience (After Sebald),CGld,15900.0,18700000.0,2012,18715900.0,patience
Take Me Home,Mont.,15800.0,18700000.0,2012,18715800.0,take me home
Reuniting the Rubins,Mont.,13600.0,18700000.0,2012,18713600.0,reuniting the rubins
Cirkus Columbia,Strand,3500.0,9500.0,2012,13000.0,cirkus columbia
Grassroots,Gold.,12400.0,18700000.0,2012,18712400.0,grassroots
Husbands in Goa,UTV,10100.0,18700000.0,2012,18710100.0,husbands in goa
Starry Starry Night,CL,10000.0,18700000.0,2012,18710000.0,starry starry night
Corpo Celeste,FM,8900.0,18700000.0,2012,18708900.0,corpo celeste
Dreams of a Life,Strand,8400.0,18700000.0,2012,18708400.0,dreams of a life
The Babymakers,MNE,7900.0,18700000.0,2012,18707900.0,the babymakers
Las Acacias,OutF,6000.0,18700000.0,2012,18706000.0,las acacias
The Good Doctor,Magn.,5200.0,18700000.0,2012,18705200.0,the good doctor
Liar's Autobiography,BSM,5100.0,18700000.0,2012,18705100.0,liars autobiography
Sleepless Night,Trib.,3400.0,18700000.0,2012,18703400.0,sleepless night
ATM,IFC,3000.0,18700000.0,2012,18703000.0,atm
About Cherry,IFC,3000.0,18700000.0,2012,18703000.0,about cherry
Perfect Sense,IFC,3000.0,18700000.0,2012,18703000.0,perfect sense
Cheerful Weather for the Wedding,IFC,2700.0,18700000.0,2012,18702700.0,cheerful weather for the wedding
The Decoy Bride,IFC,800.0,18700000.0,2012,18700800.0,the decoy bride
Death of a Superhero,Trib.,600.0,18700000.0,2012,18700600.0,death of a superhero
Frozen,BV,400700000.0,875700000.0,2013,1276400000.0,frozen
Iron Man 3,BV,409000000.0,805800000.0,2013,1214800000.0,iron man 3
Despicable Me 2,Uni.,368100000.0,602700000.0,2013,970800000.0,despicable me 2
The Hobbit: The Desolation of Smaug,WB (NL),258399999.0,700000000.0,2013,958399999.0,the hobbit the desolation of smaug
The Hunger Games: Catching Fire,LGF,424700000.0,440300000.0,2013,865000000.0,the hunger games catching fire
Fast & Furious 6,Uni.,238700000.0,550000000.0,2013,788700000.0,fast furious 6
Monsters University,BV,268500000.0,475700000.0,2013,744200000.0,monsters university
Gravity,WB,274100000.0,449100000.0,2013,723200000.0,gravity
Man of Steel,WB,291000000.0,377000000.0,2013,668000000.0,man of steel
Thor: The Dark World,BV,206400000.0,438200000.0,2013,644600000.0,thor the dark world
The Croods,Fox,187200000.0,400000000.0,2013,587200000.0,the croods
World War Z,Par.,202400000.0,337600000.0,2013,540000000.0,world war z
Oz The Great and Powerful,BV,234900000.0,258399999.0,2013,493299999.0,oz the great and powerful
Star Trek Into Darkness,Par.,228800000.0,238600000.0,2013,467400000.0,star trek into darkness
The Wolverine,Fox,132600000.0,282300000.0,2013,414900000.0,the wolverine
Pacific Rim,WB,101800000.0,309200000.0,2013,411000000.0,pacific rim
The Wolf of Wall Street,Par.,116900000.0,275100000.0,2013,392000000.0,the wolf of wall street
G.I. Joe: Retaliation,Par.,122500000.0,253200000.0,2013,375700000.0,gi joe retaliation
The Hangover Part III,WB,112200000.0,249800000.0,2013,362000000.0,the hangover part iii
The Great Gatsby (2013),WB,144800000.0,208800000.0,2013,353600000.0,the great gatsby
