genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,title_norm
"[9648, 27, 28]",29427,en,The Crazies,12.245999999999999,2010-02-26,The Crazies,6.2,1036,2010,the crazies
"[28, 53, 80, 9648]",33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705,2010,the girl who kicked the hornets nest
"[35, 10749]",39451,en,Little Fockers,12.152999999999999,2010-12-21,Little Fockers,5.6,1883,2010,little fockers
"[28, 12, 35, 80, 53]",39514,en,RED,12.082,2010-10-14,RED,6.6,4162,2010,red
"[18, 10749, 10752]",22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676,2010,dear john
[27],22894,en,Legion,12.032,2010-01-22,Legion,5.3,1154,2010,legion
"[12, 14, 16, 878]",37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502,2010,tales from earthsea
"[10749, 35]",25195,en,Leap Year,11.821,2010-01-08,Leap Year,6.7,990,2010,leap year
"[35, 10749, 18]",38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748,2010,life as we know it
"[18, 28, 53, 80, 9648]",24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881,2010,the girl who played with fire
"[18, 53]",38363,en,Fair Game,11.624,2010-05-20,Fair Game,6.6,384,2010,fair game
"[35, 10402, 10770]",44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878,2010,camp rock 2 the final jam
"[10752, 28, 12, 18, 53]",22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176,2010,green zone
"[28, 12, 16]",30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277,2010,justice league crisis on two earths
"[18, 10749]",23169,en,Remember Me,11.453,2010-03-12,Remember Me,7.1,2079,2010,remember me
"[12, 18, 53]",44115,en,127 Hours,11.435,2010-11-05,127 Hours,7.0,4469,2010,127 hours
"[9648, 14, 35, 12]",47533,de,Scooby-Doo! Curse of the Lake Monster,11.372,2010-10-15,Scooby-Doo! Curse of the Lake Monster,5.6,171,2010,scoobydoo curse of the lake monster
"[35, 27]",43593,en,Piranha 3D,11.302,2010-08-20,Piranha 3D,5.3,1029,2010,piranha 3d
"[12, 18, 28, 14]",37861,en,Valhalla Rising,11.26,2010-07-16,Valhalla Rising,6.0,582,2010,valhalla rising
"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,2010-01-29,Edge of Darkness,6.3,794,2010,edge of darkness
"[14, 12, 28, 9648]",35552,fr,Les Aventures extraordinaires d'Adèle Blanc-Sec,11.220999999999998,2010-04-14,The Extraordinary Adventures of Adèle Blanc-Sec,6.0,671,2010,the extraordinary adventures of adle blancsec
"[35, 10749]",32856,en,Valentine's Day,11.187000000000001,2010-02-11,Valentine's Day,5.8,1907,2010,valentines day
"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,2010-11-19,The Next Three Days,7.0,1469,2010,the next three days
"[16, 10751, 10770]",50393,en,Kung Fu Panda Holiday,11.083,2010-11-26,Kung Fu Panda Holiday,6.6,110,2010,kung fu panda holiday
"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,Buried,6.6,1487,2010,buried
"[28, 18, 36]",11645,ja,乱,10.885,1985-09-26,Ran,8.1,600,1985,ran
"[12, 28, 35, 53]",41135,en,Operation: Endgame,10.799000000000001,2010-07-20,Operation: Endgame,4.9,88,2010,operation endgame
"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282,2010,gullivers travels
"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223,2010,legend of the guardians the owls of gahoole
"[28, 35, 10751]",23172,en,The Spy Next Door,10.745999999999999,2010-01-15,The Spy Next Door,5.7,650,2010,the spy next door
"[35, 99, 28]",16290,en,Jackass 3D,10.715,2010-10-15,Jackass 3D,6.3,655,2010,jackass 3d
[18],13078,en,The Babysitters,10.71,2008-05-09,The Babysitters,5.3,125,2008,the babysitters
"[28, 53, 80]",15357,fr,Banlieue 13 - Ultimatum,10.661,2010-02-05,District 13: Ultimatum,6.1,555,2010,district 13 ultimatum
"[53, 27]",10664,es,[REC]²,10.66,2010-07-09,[REC]²,6.5,920,2010,rec
"[12, 16, 10751, 35]",51170,en,Open Season 3,10.614,2010-01-25,Open Season 3,5.5,237,2010,open season 3
"[35, 18, 10749]",38357,en,Morning Glory,10.595,2010-11-10,Morning Glory,6.3,717,2010,morning glory
"[53, 80, 18, 28]",25941,en,Harry Brown,10.555,2010-04-30,Harry Brown,6.8,505,2010,harry brown
"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273,2010,cats dogs the revenge of kitty galore
[18],45317,en,The Fighter,10.395,2010-12-17,The Fighter,7.3,2325,2010,the fighter
"[18, 10402, 10749]",27,en,9 Songs,10.332,2004-09-09,9 Songs,4.9,170,2004,9 songs
"[28, 53, 10749]",37710,en,The Tourist,10.307,2010-12-10,The Tourist,6.1,3133,2010,the tourist
"[18, 10749]",40080,en,The Cutting Edge: Fire & Ice,10.302999999999999,2010-03-14,The Cutting Edge: Fire & Ice,6.0,63,2010,the cutting edge fire ice
[878],830,en,Forbidden Planet,10.274000000000001,1956-03-15,Forbidden Planet,7.3,388,1956,forbidden planet
"[16, 10751, 14]",34134,en,Barbie in A Mermaid Tale,10.252,2010-03-01,Barbie in A Mermaid Tale,6.7,282,2010,barbie in a mermaid tale
"[18, 28, 36]",14756,cn,葉問,10.23,2010-10-01,Ip Man,7.7,1906,2010,ip man
"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,Killers,5.8,1314,2010,killers
"[35, 10749]",38303,en,You Again,10.208,2010-09-24,You Again,6.2,734,2010,you again
"[27, 9648, 53]",44040,en,Devil,10.203,2010-09-17,Devil,5.9,1516,2010,devil
"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,The Losers,6.2,844,2010,the losers
"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.187999999999999,2010-08-13,Animal Kingdom,6.8,399,2010,animal kingdom
"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797,2010,wall street money never sleeps
"[18, 53, 878]",43933,en,Monsters,10.175,2010-10-29,Monsters,6.2,848,2010,monsters
"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383,2010,hot tub time machine
"[16, 35, 10751, 80, 9648]",14447,en,A Matter of Loaf and Death,10.1,2010-02-19,A Matter of Loaf and Death,7.2,219,2010,a matter of loaf and death
"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,Love & Other Drugs,6.9,2509,2010,love other drugs
"[14, 18, 10751]",40205,en,16 Wishes,10.068,2010-06-25,16 Wishes,5.9,688,2010,16 wishes
"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,2010-09-15,Never Let Me Go,6.8,1294,2010,never let me go
"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324,2010,its kind of a funny story
[18],38167,en,Eat Pray Love,9.991,2010-08-12,Eat Pray Love,6.0,1208,2010,eat pray love
"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,Sex and the City 2,5.9,809,2010,sex and the city 2
"[35, 80, 18]",37495,en,Four Lions,9.968,2010-11-05,Four Lions,7.0,621,2010,four lions
"[35, 14, 10749]",13477,en,When in Rome,9.926,2010-01-29,When in Rome,5.9,703,2010,when in rome
"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,The Bounty Hunter,5.7,1627,2010,the bounty hunter
[18],39013,en,Winter's Bone,9.824,2010-06-11,Winter's Bone,6.9,931,2010,winters bone
"[18, 10749]",52338,en,Waiting for Forever,9.818999999999999,2010-02-10,Waiting for Forever,5.7,172,2010,waiting for forever
"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,2010-10-08,My Soul to Take,5.4,247,2010,my soul to take
"[27, 9648, 53]",23437,en,A Nightmare on Elm Street,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408,2010,a nightmare on elm street
"[10749, 18]",43949,en,Flipped,9.781,2010-08-06,Flipped,7.4,859,2010,flipped
"[18, 27, 9648]",41402,en,Let Me In,9.716000000000001,2010-10-01,Let Me In,6.7,1061,2010,let me in
"[18, 53]",38199,en,Unthinkable,9.693,2010-06-15,Unthinkable,6.7,623,2010,unthinkable
[53],44363,en,Frozen,9.677999999999999,2010-02-05,Frozen,5.8,987,2010,frozen
"[28, 35, 80, 53]",29564,en,Smokin' Aces 2: Assassins' Ball,9.565,2010-01-19,Smokin' Aces 2: Assassins' Ball,5.4,141,2010,smokin aces 2 assassins ball
"[14, 18]",34647,en,Enter the Void,9.562999999999999,2010-09-24,Enter the Void,7.3,773,2010,enter the void
"[80, 27]",55890,en,Bereavement,9.55,2010-07-16,Bereavement,5.3,71,2010,bereavement
[99],44639,en,Inside Job,9.514,2010-10-08,Inside Job,7.8,466,2010,inside job
"[80, 53]",101669,en,Mother's Day,9.496,2010-09-23,Mother's Day,6.4,193,2010,mothers day
"[27, 53]",7340,en,Carrie,9.467,1976-11-03,Carrie,7.1,1766,1976,carrie
"[18, 10749]",37950,en,Charlie St. Cloud,9.454,2010-05-01,Charlie St. Cloud,6.9,1398,2010,charlie st cloud
"[35, 10751]",35169,en,Furry Vengeance,9.45,2010-04-02,Furry Vengeance,4.6,283,2010,furry vengeance
"[80, 35, 18]",45324,en,Casino Jack,9.432,2010-12-17,Casino Jack,6.1,149,2010,casino jack
"[35, 10749, 10770, 10402]",35558,en,Starstruck,9.406,2010-02-14,Starstruck,6.7,627,2010,starstruck
