genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,release_year,title_norm
"[28, 10402]",302526,en,Above & Beyond: ABGT100 - Live from Madison Square Garden,0.711,2014-10-18,Above & Beyond: ABGT100 - Live from Madison Square Garden,5.3,2,2014,above beyond abgt100 live from madison square garden
"[99, 10402]",321091,en,John Mayer: Someday I'll Fly,0.7090000000000001,2014-04-06,John Mayer: Someday I'll Fly,10.0,3,2014,john mayer someday ill fly
[99],171361,en,Higher,0.708,2014-09-06,Higher,8.0,3,2014,higher
[99],276120,en,The (Dead Mothers) Club,0.708,2014-05-12,The (Dead Mothers) Club,6.0,1,2014,the club
[16],252875,en,Steve's First Bath,0.7070000000000001,2014-01-28,Steve's First Bath,6.0,1,2014,steves first bath
"[27, 16, 14, 12]",334351,en,The Mill at Calder's End,0.7070000000000001,2014-01-01,The Mill at Calder's End,5.0,1,2014,the mill at calders end
[99],277239,en,LaDonna Harris: Indian 101,0.7070000000000001,2014-03-29,LaDonna Harris: Indian 101,1.0,1,2014,ladonna harris indian 101
[10402],284215,en,Duran Duran: Unstaged,0.705,2014-09-10,Duran Duran: Unstaged,7.1,10,2014,duran duran unstaged
"[18, 9648]",299216,en,The Sideways Light,0.705,2014-10-26,The Sideways Light,4.0,2,2014,the sideways light
[18],420172,en,Tomorrow,0.7040000000000001,2014-01-01,Tomorrow,6.0,2,2014,tomorrow
[99],309071,en,25 to Life,0.7040000000000001,2014-06-22,25 to Life,6.0,2,2014,25 to life
"[80, 18]",344178,en,Hoke,0.7040000000000001,2014-01-01,Hoke,5.5,2,2014,hoke
[],169556,en,Battle B-Boy,0.7040000000000001,2014-12-18,Battle B-Boy,5.5,1,2014,battle bboy
[18],390040,en,Mahjong and the West,0.7020000000000001,2014-10-14,Mahjong and the West,6.2,3,2014,mahjong and the west
"[18, 14, 27]",286805,en,Dark Dungeons,0.7020000000000001,2014-08-15,Dark Dungeons,4.3,3,2014,dark dungeons
[27],449519,en,The Control Group,0.7020000000000001,2014-10-22,The Control Group,2.7,3,2014,the control group
[53],267931,en,Hidden in the Woods,0.701,2014-12-12,Hidden in the Woods,4.9,11,2014,hidden in the woods
[99],267788,en,Uncensored Science: Bill Nye Debates Ken Ham,0.701,2014-02-04,Uncensored Science: Bill Nye Debates Ken Ham,4.0,3,2014,uncensored science bill nye debates ken ham
"[878, 28]",295821,en,Brutal,0.701,2014-01-05,Brutal,2.0,3,2014,brutal
"[10749, 18]",258775,en,Romeo and Juliet,0.7,2014-02-13,Romeo and Juliet,6.7,6,2014,romeo and juliet
[16],276678,en,Agent F.O.X.,0.698,2014-06-01,Agent F.O.X.,3.9,9,2014,agent fox
[53],343492,en,Faces,0.6970000000000001,2014-10-10,Faces,5.7,3,2014,faces
[35],327352,en,Christopher Titus: Angry Pursuit of Happiness,0.6890000000000001,2014-09-27,Christopher Titus: Angry Pursuit of Happiness,8.3,3,2014,christopher titus angry pursuit of happiness
"[28, 99]",296019,en,Days of My Youth,0.6890000000000001,2014-09-17,Days of My Youth,7.3,3,2014,days of my youth
[16],424492,en,The New Yoda Chronicles: Clash of the Skywalkers,0.6890000000000001,2014-11-23,The New Yoda Chronicles: Clash of the Skywalkers,6.0,3,2014,the new yoda chronicles clash of the skywalkers
"[28, 35, 27]",456659,en,A Grim Becoming,0.6890000000000001,2014-10-31,A Grim Becoming,4.7,3,2014,a grim becoming
[18],294866,en,Redeemed,0.6890000000000001,2014-09-19,Redeemed,2.8,3,2014,redeemed
"[10751, 18]",287871,en,Rocky Road,0.6890000000000001,2014-07-20,Rocky Road,2.7,3,2014,rocky road
"[10749, 18, 10751]",291319,en,A Long Way Off,0.688,2014-06-06,A Long Way Off,7.3,3,2014,a long way off
[35],280512,en,Christian Finnegan: The Fun Part,0.688,2014-04-15,Christian Finnegan: The Fun Part,6.7,3,2014,christian finnegan the fun part
[16],544776,en,Wake Up Call,0.688,2014-06-07,Wake Up Call,6.2,3,2014,wake up call
[35],316835,en,Other Plans,0.688,2014-01-01,Other Plans,5.8,3,2014,other plans
[878],293229,en,Isa,0.688,2014-06-11,Isa,3.7,3,2014,isa
[18],330992,en,Diamonds To Dust,0.688,2014-05-31,Diamonds To Dust,2.7,3,2014,diamonds to dust
"[99, 27]",332920,en,A Werewolf in Slovenia,0.688,2014-04-10,A Werewolf in Slovenia,1.0,3,2014,a werewolf in slovenia
"[14, 10751]",290797,en,Wish Wizard,0.685,2014-04-29,Wish Wizard,3.0,1,2014,wish wizard
[35],266106,en,David Spade: My Fake Problems,0.682,2014-05-04,David Spade: My Fake Problems,3.0,1,2014,david spade my fake problems
[99],179146,fr,Le Dernier des Injustes,0.68,2014-02-07,The Last of the Unjust,6.3,8,2014,the last of the unjust
[99],350608,en,Morphine Journey of Dreams,0.677,2014-10-25,Morphine Journey of Dreams,8.0,1,2014,morphine journey of dreams
[],287921,en,i49 TF2 Fragumentary,0.677,2014-08-18,i49 TF2 Fragumentary,8.0,1,2014,i49 tf2 fragumentary
[35],281590,en,Kurt Metzger: White Precious,0.677,2014-07-11,Kurt Metzger: White Precious,8.0,1,2014,kurt metzger white precious
[],369607,en,Christmas Tail,0.677,2014-01-01,Christmas Tail,4.0,1,2014,christmas tail
"[99, 36]",412306,en,A Goy Guide to World History,0.6759999999999999,2014-01-01,A Goy Guide to World History,8.0,1,2014,a goy guide to world history
[35],302035,en,Lucky Stiff,0.674,2014-10-08,Lucky Stiff,3.0,1,2014,lucky stiff
[27],270363,en,Sorority Horror House,0.672,2014-03-11,Sorority Horror House,1.3,2,2014,sorority horror house
"[16, 10751]",360374,es,El pequeño médico,0.6709999999999999,2014-09-18,El pequeño médico,9.0,1,2014,el pequeo mdico
"[10751, 18]",464290,en,Catalyst,0.6709999999999999,2014-10-23,Catalyst,7.0,1,2014,catalyst
"[99, 10402]",272446,en,Britney Spears Workin' It,0.67,2014-05-29,Britney Spears Workin' It,10.0,1,2014,britney spears workin it
"[18, 10749]",340226,en,Highway to Dhampus,0.67,2014-01-01,Highway to Dhampus,8.0,1,2014,highway to dhampus
"[35, 18]",338989,en,Preoccupied,0.67,2014-05-31,Preoccupied,6.0,1,2014,preoccupied
"[35, 28]",293628,en,Awesome Asian Bad Guys,0.67,2014-03-20,Awesome Asian Bad Guys,6.0,1,2014,awesome asian bad guys
"[10752, 18, 36]",281230,en,Fort McCoy,0.669,2014-01-01,Fort McCoy,6.3,2,2014,fort mccoy
"[35, 18, 10749]",427761,en,Once Upon a Zipper,0.669,2014-11-26,Once Upon a Zipper,5.0,2,2014,once upon a zipper
[99],288130,en,A Good Job: Stories of the FDNY,0.6679999999999999,2014-09-08,A Good Job: Stories of the FDNY,8.0,2,2014,a good job stories of the fdny
"[10770, 99]",378952,en,Area 51: The CIA's Secret Files,0.6679999999999999,2014-11-24,Area 51: The CIA's Secret Files,6.0,2,2014,area 51 the cias secret files
[],274286,en,Bonta 3D,0.6679999999999999,2014-06-03,Axel: The Biggest Little Hero,4.0,2,2014,axel the biggest little hero
[10751],282398,en,K-9 Adventures: Legend of the Lost Gold,0.667,2014-06-04,K-9 Adventures: Legend of the Lost Gold,7.5,2,2014,k9 adventures legend of the lost gold
[99],258614,en,Pantani: The Accidental Death of a Cyclist,0.665,2014-07-14,Pantani: The Accidental Death of a Cyclist,6.8,17,2014,pantani the accidental death of a cyclist
[18],320642,en,Skin Deep,0.665,2014-10-25,Skin Deep,6.0,1,2014,skin deep
[27],493537,en,Red Christmas,0.665,2014-12-09,Red Christmas,1.0,1,2014,red christmas
[],477476,en,Blesi,0.664,2014-01-01,Blesi,7.0,1,2014,blesi
[35],365037,en,Swearnet Live,0.664,2014-10-01,Swearnet Live,5.4,5,2014,swearnet live
[27],296438,en,Attack of the Morningside Monster,0.664,2014-01-14,Attack of the Morningside Monster,3.0,1,2014,attack of the morningside monster
[10402],314413,en,Leonard Cohen: Live in Dublin,0.659,2014-12-02,Leonard Cohen: Live in Dublin,9.5,2,2014,leonard cohen live in dublin
[],314856,en,Afterglow,0.659,2014-10-19,Afterglow,9.0,2,2014,afterglow
[16],306449,en,How Murray Saved Christmas,0.659,2014-12-05,How Murray Saved Christmas,8.5,2,2014,how murray saved christmas
[],320538,en,Le beau risque,0.659,2014-11-23,The Beautiful Risk,8.0,2,2014,the beautiful risk
"[878, 18]",320181,en,The Perfect 46,0.659,2014-10-28,The Perfect 46,8.0,2,2014,the perfect 46
[99],318915,en,Frontline: Losing Iraq,0.659,2014-07-29,Frontline: Losing Iraq,7.5,2,2014,frontline losing iraq
[99],341009,en,The Offseason: Kevin Durant,0.659,2014-11-04,The Offseason: Kevin Durant,7.0,2,2014,the offseason kevin durant
"[16, 35]",303438,en,Monkaa,0.659,2014-10-25,Monkaa,6.5,2,2014,monkaa
"[10402, 99]",302354,en,"Eric Clapton - Planes, Trains and Eric",0.659,2014-11-04,"Eric Clapton - Planes, Trains and Eric",6.0,2,2014,eric clapton planes trains and eric
[16],294929,en,Where Are They Now?,0.659,2014-09-11,Where Are They Now?,6.0,2,2014,where are they now
[],323643,en,Frank Pierre Presents: Pierre Resort & Casino,0.659,2014-12-02,Frank Pierre Presents: Pierre Resort & Casino,5.5,2,2014,frank pierre presents pierre resort casino
"[99, 10402, 10770]",296710,en,Shiny Toy Guns - Setting Sun: Live in San Diego,0.659,2014-10-05,Shiny Toy Guns - Setting Sun: Live in San Diego,5.3,2,2014,shiny toy guns setting sun live in san diego
[10402],302596,en,Anthrax: Chile On Hell,0.659,2014-09-16,Anthrax: Chile On Hell,4.8,2,2014,anthrax chile on hell
[],502243,en,Niko: Journey to Magika,0.659,2014-12-12,Niko: Journey to Magika,4.5,2,2014,niko journey to magika
"[35, 27]",312823,en,The Grey Matter,0.659,2014-11-20,The Grey Matter,4.0,2,2014,the grey matter
[99],272742,en,David Beckham: Into the Unknown,0.6579999999999999,2014-06-13,David Beckham: Into the Unknown,10.0,2,2014,david beckham into the unknown
"[53, 27, 9648]",300902,en,Deadly Revisions,0.6579999999999999,2014-01-01,Deadly Revisions,9.8,2,2014,deadly revisions
"[10402, 99]",276833,en,"Quiet Riot: Well Now You're Here, There's No Way Back",0.6579999999999999,2014-04-29,"Quiet Riot: Well Now You're Here, There's No Way Back",9.5,2,2014,quiet riot well now youre here theres no way back
[18],573092,en,When Calls the Heart - Lost and found,0.6579999999999999,2014-01-11,When Calls the Heart - Lost and found,9.0,2,2014,when calls the heart lost and found
[99],310945,en,Invaluable: The True Story of an Epic Artist,0.6579999999999999,2014-01-31,Invaluable: The True Story of an Epic Artist,8.5,2,2014,invaluable the true story of an epic artist
[18],261812,en,Sister,0.6579999999999999,2014-04-25,Sister,8.5,2,2014,sister
"[12, 35, 18]",301378,en,Sons of Jeremiah Johnson,0.6579999999999999,2014-01-28,Sons of Jeremiah Johnson,8.3,2,2014,sons of jeremiah johnson
[],285271,en,Lessons Learned,0.6579999999999999,2014-04-01,Lessons Learned,8.0,2,2014,lessons learned
[],222030,es,Violet,0.6579999999999999,2014-02-02,Violet,7.5,2,2014,violet
"[10752, 99]",381491,en,Battle of Kings: Bannockburn,0.6579999999999999,2014-06-22,Battle of Kings: Bannockburn,7.3,2,2014,battle of kings bannockburn
[],324609,en,Tongue Tied,0.6579999999999999,2014-05-08,Tongue Tied,7.0,2,2014,tongue tied
[99],257116,en,SlingShot,0.6579999999999999,2014-03-14,SlingShot,7.0,7,2014,slingshot
[99],253319,en,The Case of the Three Sided Dream,0.6579999999999999,2014-03-11,The Case of the Three Sided Dream,7.0,2,2014,the case of the three sided dream
"[10752, 18]",422868,en,"The Bravest, the Boldest",0.6579999999999999,2014-01-17,"The Bravest, the Boldest",6.5,2,2014,the bravest the boldest
[35],460779,en,"Gabriel Iglesias Presents Rick Gutierrez: I'm Not Mad, I'm Just a Parent",0.6579999999999999,2014-06-14,"Gabriel Iglesias Presents Rick Gutierrez: I'm Not Mad, I'm Just a Parent",6.0,2,2014,gabriel iglesias presents rick gutierrez im not mad im just a parent
[99],360150,en,Love Is a Verb,0.6579999999999999,2014-04-01,Love Is a Verb,6.0,2,2014,love is a verb
[27],352823,en,Playing with the Devil,0.6579999999999999,2014-03-15,Playing with the Devil,6.0,2,2014,playing with the devil
"[28, 16]",326119,en,Danny and the Wild Bunch,0.6579999999999999,2014-02-18,Danny and the Wild Bunch,6.0,2,2014,danny and the wild bunch
"[53, 18]",283426,en,Blood Pulls a Gun,0.6579999999999999,2014-03-15,Blood Pulls a Gun,6.0,2,2014,blood pulls a gun
[99],252403,en,Mr. X,0.6579999999999999,2014-01-20,Mr. X,6.0,2,2014,mr x
[99],277456,en,Space: Unraveling the Cosmos,0.6579999999999999,2014-01-01,Space: Unraveling the Cosmos,5.8,2,2014,space unraveling the cosmos
"[878, 18, 27]",330980,en,Box Room,0.6579999999999999,2014-03-08,Box Room,5.5,2,2014,box room
[99],325681,en,It's a Beautiful World,0.6579999999999999,2014-04-22,It's a Beautiful World,5.5,2,2014,its a beautiful world
"[36, 18, 10751, 10749]",283628,en,At the Foot of the Rainbow,0.6579999999999999,2014-05-25,At the Foot of the Rainbow,5.3,2,2014,at the foot of the rainbow
"[28, 878]",351381,en,Future Justice,0.6579999999999999,2014-05-18,Future Justice,5.0,2,2014,future justice
[27],302019,en,Crow Hand,0.6579999999999999,2014-01-01,Crow Hand,5.0,2,2014,crow hand
"[18, 10751]",300435,en,Forgotten,0.6579999999999999,2014-03-30,Forgotten,4.0,2,2014,forgotten
[27],295184,en,Asylum of the Dead,0.6579999999999999,2014-01-01,Asylum of the Dead,4.0,2,2014,asylum of the dead
"[53, 27, 18]",270299,en,The Red House,0.6579999999999999,2014-10-07,The Red House,4.0,2,2014,the red house
[],267178,en,Mad As Hell,0.6579999999999999,2014-07-01,Mad As Hell,4.0,2,2014,mad as hell
[878],268944,en,Apocalypse Kiss,0.6579999999999999,2014-01-01,Apocalypse Kiss,2.0,2,2014,apocalypse kiss
[18],258884,en,新世界の夜明け,0.655,2014-02-18,New World,8.0,2,2014,new world
[99],291863,en,Future Shock! The Story of 2000AD,0.654,2014-09-19,Future Shock! The Story of 2000AD,7.4,7,2014,future shock the story of 2000ad
[35],284374,en,Love or Whatever,0.652,2014-07-22,Love or Whatever,5.8,4,2014,love or whatever
[18],284341,es,Gente de bien,0.648,2014-10-18,Gente de bien,7.1,10,2014,gente de bien
[18],257126,en,Acting Like Adults,0.644,2014-03-08,Acting Like Adults,7.0,1,2014,acting like adults
[],273728,en,Telling of the Shoes,0.64,2014-02-01,Telling of the Shoes,8.0,1,2014,telling of the shoes
[],482119,en,"Sex, Marriage and Infidelity",0.64,2014-10-19,"Sex, Marriage and Infidelity",1.0,1,2014,sex marriage and infidelity
"[10749, 35]",315240,en,Need for Speed (Dating),0.639,2014-04-16,Need for Speed (Dating),7.0,1,2014,need for speed
"[18, 35]",309665,ru,Мамы 3,0.636,2014-12-30,Mommies 3,7.0,1,2014,mommies 3
[10751],307172,en,Santa Hunters,0.635,2014-11-28,Santa Hunters,7.3,7,2014,santa hunters
[18],414552,ru,February 28,0.634,2014-09-21,February 28,10.0,1,2014,february 28
[10751],306829,en,88th Annual Macy's Thanksgiving Day Parade,0.634,2014-11-27,88th Annual Macy's Thanksgiving Day Parade,8.0,1,2014,88th annual macys thanksgiving day parade
[99],416250,en,9/10: The Final Hours,0.633,2014-09-11,9/10: The Final Hours,10.0,1,2014,910 the final hours
"[18, 53, 80]",244794,en,"Three Holes, Two Brads, and a Smoking Gun",0.633,2014-10-24,"Three Holes, Two Brads, and a Smoking Gun",8.5,1,2014,three holes two brads and a smoking gun
[99],324947,en,Walter Williams: Suffer No Fools,0.633,2014-09-15,Walter Williams: Suffer No Fools,8.0,1,2014,walter williams suffer no fools
"[10402, 99]",485807,en,Summer '82: When Zappa Came to Sicily,0.633,2014-10-05,Summer '82: When Zappa Came to Sicily,7.0,1,2014,summer 82 when zappa came to sicily
[99],339346,en,Under Our Skin 2: Emergence,0.633,2014-08-01,Under Our Skin 2: Emergence,7.0,1,2014,under our skin 2 emergence
[99],325350,en,La Joya Y Los Guerreros De La Niebla,0.633,2014-07-07,La Joya And The Warriors In The Mist,7.0,1,2014,la joya and the warriors in the mist
"[14, 16]",296318,zh,神笔马良,0.633,2014-12-31,The Magical Brush,5.0,1,2014,the magical brush
[35],289113,en,A Better You,0.633,2014-11-10,A Better You,5.0,1,2014,a better you
"[10751, 16]",289091,en,The Jungle Bunch 2: The Great Treasure Quest,0.633,2014-08-27,The Jungle Bunch 2: The Great Treasure Quest,4.0,1,2014,the jungle bunch 2 the great treasure quest
[27],294274,en,Chainsaw Killer,0.633,2014-10-31,Chainsaw Killer,2.0,1,2014,chainsaw killer
[],327294,en,Roxie,0.632,2014-04-04,Roxie,5.0,1,2014,roxie
[99],253290,en,Butterfly Girl,0.632,2014-03-10,Butterfly Girl,5.0,1,2014,butterfly girl
"[35, 28, 12]",293796,en,Wet and Reckless,0.632,2014-04-08,Wet and Reckless,3.0,1,2014,wet and reckless
"[14, 27, 18]",311017,en,Ghost Train,0.631,2014-10-11,Ghost Train,7.0,1,2014,ghost train
[],509818,en,Girls on Film: The First Date,0.629,2014-07-14,Girls on Film: The First Date,10.0,1,2014,girls on film the first date
"[35, 28]",467411,en,Greenman: The Awakening,0.629,2014-10-28,Greenman: The Awakening,10.0,1,2014,greenman the awakening
"[28, 35]",445070,en,Staple-Man Rises,0.629,2014-10-05,Staple-Man Rises,10.0,1,2014,stapleman rises
[],441612,en,Nowhere Girl,0.629,2014-09-10,Nowhere Girl,10.0,1,2014,nowhere girl
[],410540,en,Tarpan: Repainting an Ancient Picture,0.629,2014-11-01,Tarpan: Repainting an Ancient Picture,10.0,1,2014,tarpan repainting an ancient picture
"[12, 18]",372976,en,Fresh Cut Grass,0.629,2014-11-23,Fresh Cut Grass,10.0,1,2014,fresh cut grass
[],335651,en,Hypnosis Display,0.629,2014-09-20,Hypnosis Display,10.0,1,2014,hypnosis display
[99],305784,en,The Transcendental Object at the End of Time,0.629,2014-11-16,The Transcendental Object at the End of Time,10.0,1,2014,the transcendental object at the end of time
[99],554654,en,Between Two Worlds,0.629,2014-07-29,Between Two Worlds,8.0,1,2014,between two worlds
"[12, 10751, 14]",347091,ru,Тайна темной комнаты,0.629,2014-12-30,A Dark Room Mystery,8.0,1,2014,a dark room mystery
[18],322248,en,Stand Down Soldier,0.629,2014-07-09,Stand Down Soldier,8.0,1,2014,stand down soldier
[35],315290,en,Awkward Thanksgiving,0.629,2014-11-07,Awkward Thanksgiving,8.0,1,2014,awkward thanksgiving
[],309726,en,Jar Jar Binks: The F! True Hollywood Story,0.629,2014-12-09,Jar Jar Binks: The F! True Hollywood Story,8.0,1,2014,jar jar binks the f true hollywood story
[18],257238,en,As It Is in Heaven,0.629,2014-08-15,As It Is in Heaven,8.0,1,2014,as it is in heaven
[99],333315,en,The Greasy Hands Preachers,0.629,2014-09-26,The Greasy Hands Preachers,7.5,1,2014,the greasy hands preachers
"[35, 16]",419474,en,"Marcel the Shell with Shoes On, Three",0.629,2014-10-20,"Marcel the Shell with Shoes On, Three",7.0,1,2014,marcel the shell with shoes on three
[27],337100,en,The Visitant,0.629,2014-12-10,The Visitant,7.0,1,2014,the visitant
[],308969,en,Apt 3D,0.629,2014-12-06,Apt 3D,7.0,1,2014,apt 3d
[53],301318,en,Killing Mr. Right,0.629,2014-10-14,Killing Mr. Right,7.0,1,2014,killing mr right
[],295662,en,VeggieTales: Beauty and the Beet,0.629,2014-10-01,VeggieTales: Beauty and the Beet,7.0,1,2014,veggietales beauty and the beet
[16],296450,en,Blackford Manor,0.629,2014-08-28,Blackford Manor,6.5,1,2014,blackford manor
"[10402, 99]",177622,en,I Dream Of Wires,0.629,2014-11-10,I Dream Of Wires,6.4,9,2014,i dream of wires
"[99, 10402, 10770]",458139,en,Slash - Raised On the Sunset Strip,0.629,2014-10-29,Slash - Raised On the Sunset Strip,6.0,1,2014,slash raised on the sunset strip
[99],410950,en,The Rocky Mountain Fly Highway,0.629,2014-09-03,The Rocky Mountain Fly Highway,6.0,1,2014,the rocky mountain fly highway
[],384825,en,Carolina Parakeet,0.629,2014-10-21,Carolina Parakeet,6.0,1,2014,carolina parakeet
"[10749, 35]",338719,ru,Мама дарагая!,0.629,2014-12-15,Dear Mom!,6.0,1,2014,dear mom
[9648],331806,en,Clue: A Movie Mystery Adventure,0.629,2014-07-15,Clue: A Movie Mystery Adventure,6.0,1,2014,clue a movie mystery adventure
[27],298985,fr,The Fright Night Files,0.629,2014-10-08,The Fright Night Files,6.0,1,2014,the fright night files
[28],290772,en,Fatal Instinct,0.629,2014-06-03,Fatal Instinct,6.0,1,2014,fatal instinct
[],395679,en,Unmappable,0.629,2014-10-18,Unmappable,5.0,1,2014,unmappable
[99],357132,en,Diving With The Dinosaur Fish,0.629,2014-09-27,Diving With The Dinosaur Fish,5.0,1,2014,diving with the dinosaur fish
"[35, 878]",307706,en,Bill the Galactic Hero,0.629,2014-12-12,Bill the Galactic Hero,5.0,1,2014,bill the galactic hero
"[9648, 27]",295987,en,The Minions,0.629,2014-10-30,The Minions,5.0,1,2014,the minions
[],527937,en,Ink,0.629,2014-09-25,Ink,4.0,1,2014,ink
"[18, 10770]",331337,en,Heavenly Match,0.629,2014-10-12,Heavenly Match,4.0,1,2014,heavenly match
[27],295307,en,The Murders of Brandywine Theater,0.629,2014-09-12,The Murders of Brandywine Theater,4.0,1,2014,the murders of brandywine theater
[27],372581,en,Snuffet,0.629,2014-08-26,Snuffet,2.0,1,2014,snuffet
[],298841,en,Border Break,0.629,2014-07-22,Border Break,2.0,1,2014,border break
[],328939,en,Cheerleader Camp: To The Death,0.629,2014-10-13,Cheerleader Camp: To The Death,1.0,1,2014,cheerleader camp to the death
[27],307728,en,The Biker Warrior Babe vs. The Zombie Babies From Hell,0.629,2014-12-02,The Biker Warrior Babe vs. The Zombie Babies From Hell,1.0,1,2014,the biker warrior babe vs the zombie babies from hell
[35],257130,en,Confessions of a Womanizer,0.629,2014-09-06,Confessions of a Womanizer,0.5,1,2014,confessions of a womanizer
[],533062,en,Leslie Sansone: WATP Multi-Mile Mega Walk,0.628,2014-01-01,Leslie Sansone: WATP Multi-Mile Mega Walk,10.0,1,2014,leslie sansone watp multimile mega walk
[99],514766,en,Nibiru - Return of the Gods,0.628,2014-02-04,Nibiru - Return of the Gods,10.0,1,2014,nibiru return of the gods
[],414920,en,The Yellow Wallpaper,0.628,2014-05-14,The Yellow Wallpaper,10.0,1,2014,the yellow wallpaper
[10402],405641,en,Messer Chups: Total Terror,0.628,2014-06-06,Messer Chups: Total Terror,10.0,1,2014,messer chups total terror
[99],403289,en,Skygate 911,0.628,2014-01-01,Skygate 911,10.0,1,2014,skygate 911
[],367682,hu,LRG - 47,0.628,2014-01-01,LRG - 47,10.0,1,2014,lrg 47
"[12, 28]",324056,en,The Adventures of Tim and Ben,0.628,2014-06-21,The Adventures of Tim and Ben,10.0,1,2014,the adventures of tim and ben
[99],323362,en,Tony Cairoli: The Movie,0.628,2014-01-01,Tony Cairoli: The Movie,10.0,1,2014,tony cairoli the movie
[],369371,en,Contrapelo,0.628,2014-04-18,Contrapelo,9.5,1,2014,contrapelo
[16],448154,en,The Obvious Child,0.628,2014-01-17,The Obvious Child,9.0,1,2014,the obvious child
[99],331743,en,Packard: The Last Shift,0.628,2014-03-01,Packard: The Last Shift,8.0,1,2014,packard the last shift
[],326633,en,"Frank Zappa - Freak Jazz, Movie Madness & Another Mothers",0.628,2014-01-01,"Frank Zappa - Freak Jazz, Movie Madness & Another Mothers",8.0,1,2014,frank zappa freak jazz movie madness another mothers
[99],266056,en,Riot on the Dance Floor,0.628,2014-04-27,Riot on the Dance Floor,8.0,1,2014,riot on the dance floor
[99],265497,en,One Last Hug,0.628,2014-04-14,One Last Hug,8.0,1,2014,one last hug
[35],262175,en,Manos: The Hands of Felt,0.628,2014-01-01,Manos: The Hands of Felt,7.5,1,2014,manos the hands of felt
[10402],327379,en,Uriah Heep: Live at Koko,0.628,2014-02-24,Uriah Heep: Live at Koko,7.0,1,2014,uriah heep live at koko
[],325120,en,Office Ninja,0.628,2014-04-22,Office Ninja,7.0,1,2014,office ninja
[99],285460,en,Limited Partnership,0.628,2014-06-14,Limited Partnership,7.0,1,2014,limited partnership
"[35, 10751]",507126,en,The Zeroes,0.628,2014-03-09,The Zeroes,6.0,1,2014,the zeroes
[],389142,en,The Hanover House,0.628,2014-05-09,The Hanover House,6.0,1,2014,the hanover house
[],314244,en,Intimate Semaphores,0.628,2014-05-29,Intimate Semaphores,6.0,1,2014,intimate semaphores
[99],294550,en,The Outrageous Sophie Tucker,0.628,2014-05-02,The Outrageous Sophie Tucker,6.0,1,2014,the outrageous sophie tucker
[],270480,en,Helium Harvey,0.628,2014-01-29,Helium Harvey,6.0,1,2014,helium harvey
"[10749, 35]",268959,ru,"S 8 Marta, Muzhchiny!",0.628,2014-04-04,"Happy March 8th, Men!",6.0,1,2014,happy march 8th men
"[10770, 9648, 18]",261046,en,Sorority Surrogate,0.628,2014-03-22,Sorority Surrogate,6.0,1,2014,sorority surrogate
[18],248384,en,Drunktown's Finest,0.628,2014-01-18,Drunktown's Finest,6.0,1,2014,drunktowns finest
[],410043,en,Sweet Oranges,0.628,2014-01-01,Sweet Oranges,5.0,1,2014,sweet oranges
"[18, 35]",354058,en,I'm a Mitzvah,0.628,2014-01-17,I'm a Mitzvah,5.0,1,2014,im a mitzvah
[27],327732,en,The Muck,0.628,2014-03-08,The Muck,5.0,1,2014,the muck
[878],324441,en,We Were Not Made For This World,0.628,2014-06-18,We Were Not Made For This World,5.0,1,2014,we were not made for this world
[],298950,en,Gay Lives of Straight Guys,0.628,2014-03-01,Gay Lives of Straight Guys,5.0,1,2014,gay lives of straight guys
[18],281510,en,Being Us,0.628,2014-05-28,Being Us,5.0,1,2014,being us
"[99, 12, 35]",253338,en,Sick Birds Die Easy,0.628,2014-01-24,Sick Birds Die Easy,5.0,1,2014,sick birds die easy
[99],250662,en,Marmato,0.628,2014-01-17,Marmato,5.0,1,2014,marmato
[18],245856,sr,Neposlusni,0.628,2014-01-21,The Disobedient,5.0,1,2014,the disobedient
[99],223249,en,Documented,0.628,2014-05-02,Documented,5.0,1,2014,documented
[],178298,en,Brothers Hypnotic,0.628,2014-04-05,Brothers Hypnotic,5.0,1,2014,brothers hypnotic
[],536883,en,Flash in the Pain,0.628,2014-06-10,Flash in the Pain,4.0,1,2014,flash in the pain
"[18, 35]",340224,en,"Hello, My Name Is Frank",0.628,2014-01-01,"Hello, My Name Is Frank",4.0,1,2014,hello my name is frank
"[10749, 35]",323348,en,Anita Ho,0.628,2014-01-01,Anita Ho,4.0,1,2014,anita ho
[35],291379,en,Me,0.628,2014-05-21,Me,4.0,1,2014,me
[],277607,en,Lucky Dog,0.628,2014-01-01,Lucky Dog,4.0,1,2014,lucky dog
[],304475,en,Love Will Keep Up Together,0.628,2014-06-10,Love Will Keep Up Together,3.0,1,2014,love will keep up together
"[80, 18]",263503,en,Water & Power,0.628,2014-05-02,Water & Power,3.0,1,2014,water power
[35],277673,en,Pauline Alone,0.628,2014-06-19,Pauline Alone,2.0,1,2014,pauline alone
[99],366578,en,Generation Youtube,0.628,2014-04-25,Generation Youtube,1.0,1,2014,generation youtube
"[53, 18]",323591,en,Hear No Evil,0.628,2014-06-21,Hear No Evil,1.0,1,2014,hear no evil
[],299965,en,The House on the Wrong Side of the Tracks,0.628,2014-01-01,The House on the Wrong Side of the Tracks,1.0,1,2014,the house on the wrong side of the tracks
[35],287801,en,Dennis Miller: America 180 Degrees,0.628,2014-06-13,Dennis Miller: America 180 Degrees,1.0,1,2014,dennis miller america 180 degrees
