id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,profit_ratio,profit,year_x,title,studio,domestic_gross_y,foreign_gross,year_y,total_gross,budget_category
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,1.0002654666666666,47784.0,2011,Hugo,Par.,73900000.0,111900000.0,2011,185800000.0,High
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,1.1949908666666667,35098356.0,2017,Valerian and the City of a Thousand Planets,STX,41200000.0,184700000.0,2017,225900000.0,High
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,1.0166621173184358,2982519.0,2015,Jupiter Ascending,WB,47400000.0,136600000.0,2015,184000000.0,High
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,3.047963741573034,364537546.0,2016,X-Men: Apocalypse,Fox,155400000.0,388500000.0,2016,543900000.0,High
94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,2.974891657303371,351530715.0,2018,The Meg,WB,145400000.0,384800000.0,2018,530200000.0,High
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2.081692449438202,192541256.0,2014,Edge of Tomorrow,WB,100200000.0,270300000.0,2014,370500000.0,High
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,4.8813485257142855,679235992.0,2015,Inside Out,BV,356500000.0,501100000.0,2015,857600000.0,High
99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,5.029522,705166350.0,2017,Spider-Man: Homecoming,Sony,334200000.0,546000000.0,2017,880200000.0,High
100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,4.263199354285715,571059887.0,2016,Suicide Squad,WB,325100000.0,421700000.0,2016,746800000.0,High
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,4.560046291428572,623008101.0,2017,Coco,BV,209700000.0,597400000.0,2017,807100000.0,High
5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2.1916649657142857,208541369.0,2017,Cars 3,BV,152900000.0,231000000.0,2017,383900000.0,High
11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,0.7978876342857143,-35369664.0,2017,King Arthur: Legend of the Sword,WB,39200000.0,109500000.0,2017,148700000.0,High
12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,0.8669532285714285,-23283185.0,2013,47 Ronin,Uni.,38400000.0,113400000.0,2013,151800000.0,High
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,7.681016464705882,1135772799.0,2018,Jurassic World: Fallen Kingdom,Uni.,417700000.0,891800000.0,2018,1309500000.0,High
14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,4.5345148,600867516.0,2014,Guardians of the Galaxy,BV,333200000.0,440200000.0,2014,773400000.0,High
15,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,3.653861111764706,451156389.0,2010,Iron Man 2,Par.,312400000.0,311500000.0,2010,623900000.0,High
16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,4.202364052941176,544401889.0,2014,Captain America: The Winter Soldier,BV,259800000.0,454500000.0,2014,714300000.0,High
17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,4.180262152941176,540644566.0,2014,Dawn of the Planet of the Apes,Fox,208500000.0,502100000.0,2014,710600000.0,High
19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,2.3589514470588235,231021746.0,2012,Snow White and the Huntsman,Uni.,155300000.0,241300000.0,2012,396600000.0,High
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,1.2154559882352942,36627518.0,2015,Tomorrowland,BV,93400000.0,115700000.0,2015,209100000.0,High
26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,1.6289888941176471,106928112.0,2016,Alice Through the Looking Glass,BV,77000000.0,222400000.0,2016,299400000.0,High
27,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,4.583301048484849,591244673.0,2010,Shrek Forever After,P/DW,238700000.0,513900000.0,2010,752600000.0,High
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,4.099421612121212,511404566.0,2016,Doctor Strange,BV,232600000.0,445100000.0,2016,677700000.0,High
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,3.952289866666667,487127828.0,2014,Big Hero 6,BV,222500000.0,435300000.0,2014,657800000.0,High
30,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,2.999218133333333,329870992.0,2010,How to Train Your Dragon,P/DW,217600000.0,277300000.0,2010,494900000.0,High
31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,3.0091607333333332,331511521.0,2012,Wreck-It Ralph,BV,189400000.0,281800000.0,2012,471200000.0,High
32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,4.038662878787878,501379375.0,2014,Interstellar,Par.,188000000.0,489400000.0,2014,677400000.0,High
33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,2.328299539393939,219169424.0,2016,Independence Day: Resurgence,Fox,103100000.0,286500000.0,2016,389600000.0,High
36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,7.1680915,986894640.0,2018,Aquaman,WB,335100000.0,812700000.0,2018,1147800000.0,High
38,2010-07-16,Inception,160000000.0,292576195.0,835524642.0,5.2220290125,675524642.0,2010,Inception,WB,292600000.0,535700000.0,2010,828300000.0,High
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,4.05616741875,488986787.0,2015,The Hunger Games: Mockingjay - Part 2,LGF,281700000.0,371700000.0,2015,653400000.0,High
42,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,2.22130190625,195408305.0,2011,X-Men: First Class,Fox,146400000.0,207200000.0,2011,353600000.0,High
44,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,1.3624145,57986320.0,2010,The Sorcerer's Apprentice,BV,63200000.0,152100000.0,2010,215300000.0,High
46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2.65951425625,265522281.0,2016,Warcraft,Uni.,47400000.0,386300000.0,2016,433700000.0,High
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,0.7859219487179487,-33396176.0,2016,Deepwater Horizon,LG/S,61400000.0,60400000.0,2016,121800000.0,High
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,2.697980322580645,263186950.0,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000.0,2010,415700000.0,High
49,2015-07-01,Terminator: Genisys,155000000.0,89760956.0,432150894.0,2.788070283870968,277150894.0,2015,Terminator: Genisys,Par.,89800000.0,350800000.0,2015,440600000.0,High
52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,3.2210017565789473,337592267.0,2017,War for the Planet of the Apes,Fox,146900000.0,343800000.0,2017,490700000.0,High
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,5.47422252,671133378.0,2017,Wonder Woman,WB,412600000.0,409300000.0,2017,821900000.0,High
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,8.483132733333333,1122469910.0,2013,Frozen,BV,400700000.0,875700000.0,2013,1276400000.0,High
57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,6.79619744,869429616.0,2016,Zootopia,BV,341300000.0,682500000.0,2016,1023800000.0,High
62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,4.250115766666666,487517365.0,2016,Moana,BV,248800000.0,394600000.0,2016,643400000.0,High
66,2013-11-08,Thor: The Dark World,150000000.0,206362140.0,644602516.0,4.297350106666666,494602516.0,2013,Thor: The Dark World,BV,206400000.0,438200000.0,2013,644600000.0,High
69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,3.33224912,349837368.0,2017,Dunkirk,WB,188000000.0,337200000.0,2017,525200000.0,High
70,2011-05-06,Thor,150000000.0,181030624.0,449326618.0,2.995510786666667,299326618.0,2011,Thor,Par.,181000000.0,268300000.0,2011,449300000.0,High
74,2011-05-26,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,4.432250313333333,514837547.0,2011,Kung Fu Panda 2,P/DW,165200000.0,500400000.0,2011,665600000.0,High
75,2015-05-15,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,2.467320133333333,220098020.0,2015,Mad Max: Fury Road,WB,153600000.0,224800000.0,2015,378400000.0,High
78,2018-03-29,Ready Player One,150000000.0,137690172.0,579290136.0,3.86193424,429290136.0,2018,Ready Player One,WB,137700000.0,445200000.0,2018,582900000.0,High
83,2010-07-01,The Last Airbender,150000000.0,131772187.0,319713881.0,2.1314258733333333,169713881.0,2010,The Last Airbender,Par.,131800000.0,187900000.0,2010,319700000.0,High
87,2012-03-30,Wrath of the Titans,150000000.0,83670083.0,305270083.0,2.035133886666667,155270083.0,2012,Wrath of the Titans,WB,83700000.0,221600000.0,2012,305300000.0,High
89,2012-05-11,Dark Shadows,150000000.0,79727149.0,238202668.0,1.5880177866666667,88202668.0,2012,Dark Shadows,WB,79700000.0,165800000.0,2012,245500000.0,High
90,2013-06-28,White House Down,150000000.0,73103784.0,205440387.0,1.36960258,55440387.0,2013,White House Down,Sony,73100000.0,132300000.0,2013,205400000.0,High
91,2010-02-12,The Wolfman,150000000.0,62189884.0,142634358.0,0.95089572,-7365642.0,2010,The Wolfman,Uni.,62000000.0,77800000.0,2010,139800000.0,High
92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2.2299123466666666,184486852.0,2017,The Great Wall,Uni.,45500000.0,289400000.0,2017,334900000.0,High
